"Table 2. Gene expression data: 48 SLE, 42 Control"																																																																																																																																																																																												
			"Ctrl 1"		"Ctrl 2"		"Ctrl 3"		"Ctrl 4"		"Ctrl 5"		"Ctrl 6"		"Ctrl 7"		"Ctrl 8"		"Ctrl 9"		"Ctrl 10"		"Ctrl 11"		"Ctrl 12"		"Ctrl 13"		"Ctrl 14"		"Ctrl 15"		"Ctrl 16"		"Ctrl 17"		"Ctrl 18"		"Ctrl 19"		"Ctrl 20"		"Ctrl 21"		"Ctrl 22"		"Ctrl 23"		"Ctrl 24"		"Ctrl 25"		"Ctrl 26"		"Ctrl 27"		"Ctrl 28"		"Ctrl 29"		"Ctrl 30"		"Ctrl 31"		"Ctrl 32"		"Ctrl 33"		"Ctrl 34"		"Ctrl 35"		"Ctrl 36"		"Ctrl 37"		"Ctrl 38"		"Ctrl 39"		"Ctrl 40"		"Ctrl 41"		"Ctrl 42"		"SLE 1"		"SLE 2"		"SLE 3"		"SLE 4"		"SLE 5"		"SLE 6"		"SLE 7"		"SLE 8"		"SLE 9"		"SLE 10"		"SLE 11"		"SLE 12"		"SLE 13"		"SLE 14"		"SLE 15"		"SLE 16"		"SLE 17"		"SLE 18"		"SLE 19"		"SLE 20"		"SLE 21"		"SLE 22"		"SLE 23"		"SLE 24"		"SLE 25"		"SLE 26"		"SLE 27"		"SLE 28"		"SLE 29"		"SLE 30"		"SLE 31"		"SLE 32"		"SLE 33"		"SLE 34"		"SLE 35"		"SLE 36"		"SLE 37"		"SLE 38"		"SLE 39"		"SLE 40"		"SLE 41"		"SLE 42"		"SLE 43"		"SLE 44"		"SLE 45"		"SLE 46"		"SLE 47"		"SLE 48"							
"1520_s_at"	"X04500"	"Interleukin 1, beta"	-1230.4	"A"	37.9	"P"	-810.4	"A"	381.9	"P"	273.4	"A"	-384.2	"A"	-192.2	"A"	22.6	"A"	348.5	"P"	487.2	"A"	211.7	"A"	84.4	"A"	-311.3	"A"	-1374.5	"A"	356.1	"A"	816.5	"P"	226.4	"A"	-20.6	"A"	220	"A"	203.5	"A"	629.8	"A"	74.2	"A"	883.9	"P"	482.4	"A"	-301.9	"A"	27.2	"A"	-207.1	"A"	1386.7	"A"	27.6	"A"	916.4	"A"	560.8	"A"	247.5	"P"	542.3	"A"	-443.2	"A"	394.8	"A"	-212.6	"A"	206.3	"A"	-329.4	"A"	422.5	"A"	194.1	"P"	315.7	"A"	455.5	"P"	-91.6	"A"	496	"P"	-662	"A"	-69.2	"A"	206.5	"A"	-349.3	"A"	187.7	"A"	176.9	"A"	490.7	"A"	243.5	"P"	221.1	"A"	794.7	"A"	161.8	"A"	7922.4	"P"	936.5	"P"	629.4	"A"	6719.4	"P"	322.2	"A"	-217.8	"A"	4491.1	"P"	4102.1	"P"	2138	"P"	80.6	"A"	4537	"P"	197.4	"A"	324.9	"A"	2167.5	"P"	392.5	"A"	483.2	"A"	2505.4	"P"	947.1	"P"	-46.3	"A"	189.5	"A"	2862	"P"	1622.9	"P"	288.8	"A"	359.5	"A"	618.6	"A"	11365.3	"P"	2360.3	"P"	43.8	"A"	8488.6	"P"	698.3	"P"	712.7	"P"	-187.9	"A"	-37.5	"A"	555.6	"A"	2050.8	"P"	98	1413	14.47	0.00089482		
"1523_g_at"	"U43408"	"Tyrosine kinase, non-receptor, 1"	530.7	"P"	455.9	"P"	792.8	"P"	650.6	"P"	742.7	"P"	1054.8	"P"	451.9	"P"	738.6	"P"	733.1	"P"	540.4	"P"	854.2	"P"	846	"P"	820.2	"P"	1266.2	"P"	479.9	"M"	765.9	"P"	523	"A"	579.7	"P"	1031.3	"P"	797.4	"P"	568	"P"	761.7	"P"	890.7	"P"	702.3	"A"	408.2	"P"	565.2	"P"	1096.6	"A"	435.1	"A"	554.3	"P"	552.1	"A"	683.2	"A"	643.4	"P"	792.1	"P"	663.7	"P"	464.7	"P"	688	"P"	568.7	"P"	586.1	"P"	593.1	"P"	601	"P"	765.1	"P"	478.1	"P"	510.6	"P"	375	"M"	537.8	"P"	692.6	"P"	599.7	"P"	506.2	"P"	636.4	"P"	819.4	"P"	613.8	"P"	561.7	"P"	178	"P"	401	"A"	508.4	"P"	491.3	"P"	398.5	"P"	620.8	"M"	611.3	"P"	189.5	"A"	141.9	"A"	446.1	"M"	605.4	"A"	436.5	"A"	271.8	"M"	644.2	"P"	854.3	"P"	666.9	"P"	591.6	"P"	553.8	"P"	490.4	"A"	385	"A"	693.4	"P"	574	"P"	422.1	"P"	331.2	"A"	81.4	"A"	509.8	"P"	583.2	"P"	625.4	"P"	482.1	"A"	462.4	"M"	313.2	"P"	352.5	"A"	408.6	"A"	255.2	"M"	446.7	"A"	721.1	"A"	534.5	"P"	517.9	"P"	567	365	0.64	0.0006859166		
"1617_at"	"D21205"	"Zinc finger protein 147 (estrogen-responsive finger protein)"	471.4	"P"	423.5	"P"	245.9	"A"	822.2	"P"	467.6	"A"	207	"A"	211.5	"A"	403.4	"A"	289.4	"P"	244.6	"A"	886.8	"P"	206.6	"A"	356.3	"P"	-15.5	"A"	737.6	"A"	525.9	"P"	807.6	"M"	77.7	"A"	34.7	"A"	269.2	"A"	565.9	"P"	520.8	"P"	65.7	"A"	-351.6	"A"	503.6	"A"	239	"A"	-183.9	"A"	1024.6	"M"	221.8	"A"	414.6	"A"	369.4	"A"	478.9	"A"	368.3	"A"	-128.8	"A"	420.5	"A"	187.8	"A"	406.5	"A"	-68.9	"A"	-49.5	"A"	-185	"A"	-1	"A"	248.7	"A"	519.9	"P"	1410	"P"	1075.8	"P"	337.3	"A"	590.8	"P"	682.7	"P"	883.8	"P"	214.7	"M"	825.5	"P"	915	"P"	97.8	"A"	1667.2	"P"	629.7	"P"	1391	"P"	1166.5	"P"	1556.3	"A"	72.8	"A"	622.2	"M"	641.7	"A"	1533.7	"P"	640.8	"A"	1084.2	"P"	704.7	"P"	1731.8	"P"	636.8	"A"	606	"A"	1076	"P"	1546.6	"P"	1068.8	"A"	533.2	"A"	348.1	"A"	242	"M"	823	"A"	1983.7	"P"	745.5	"A"	340.9	"A"	764.6	"P"	1138.2	"P"	865.7	"M"	533.5	"P"	-24.3	"A"	421.9	"A"	646.4	"P"	784.4	"P"	398	"M"	575.4	"A"	589.9	"P"	337.4	"A"	163	559	3.44	4.21204359469833E-005		
"1804_at"	"X07730"	"Kallikrein 3, (prostate specific antigen)"	333.2	"A"	-76.6	"A"	561.3	"P"	651.9	"P"	692.4	"P"	646.4	"P"	739.7	"P"	1062.2	"P"	491.3	"A"	679.5	"P"	353.4	"P"	760	"P"	1057.5	"P"	2086.7	"A"	263.8	"A"	575.9	"P"	1073.9	"A"	1314.1	"P"	1746.6	"P"	793.1	"P"	448.7	"P"	335	"A"	761.6	"P"	1211.2	"P"	1298.3	"P"	1212.6	"P"	3027.6	"A"	712.4	"P"	1161.6	"P"	883.6	"P"	958	"P"	298.7	"A"	1205.4	"P"	701.3	"P"	962.7	"P"	394.7	"P"	271.5	"A"	580.3	"A"	739	"P"	1036.4	"A"	1177.3	"P"	315.3	"A"	815	"A"	495	"P"	458.8	"P"	395.2	"A"	450.6	"A"	140.1	"P"	571	"P"	710.8	"A"	532.3	"A"	406.8	"A"	263.4	"A"	408.5	"P"	662.5	"P"	1141.5	"A"	240.9	"P"	1130.6	"P"	151.6	"P"	658.8	"P"	672	"P"	450.6	"P"	-471.5	"A"	144	"P"	625.7	"A"	1025.1	"P"	927.8	"P"	1210	"P"	508.2	"P"	442.7	"A"	647.7	"A"	860.3	"A"	366	"P"	504.6	"P"	355.8	"P"	594.1	"P"	685.4	"A"	825.6	"A"	679.9	"P"	41.9	"P"	728.8	"A"	23.9	"P"	265.4	"P"	364.5	"A"	51.8	"P"	684.9	"P"	821.4	"A"	862.7	"A"	661.9	"P"	627.9	"P"	644	323	0.50	0.0007824421		
"1808_s_at"	"X89101"	"Tumor necrosis factor receptor superfamily, member 6"	761.3	"A"	51.6	"A"	716.3	"A"	690.2	"A"	374.5	"A"	894.7	"A"	646.9	"A"	675.5	"A"	632.2	"A"	592.1	"A"	305	"A"	1093.7	"A"	984.5	"A"	1048.7	"A"	1331.4	"A"	1024.6	"A"	1704.7	"A"	332.1	"A"	1578.9	"A"	681.5	"A"	891.4	"A"	1118.8	"A"	844.7	"A"	549.5	"A"	852.5	"A"	253.8	"A"	1045.6	"A"	237.2	"A"	1025.9	"A"	314.6	"A"	398.4	"A"	173.2	"A"	202.4	"A"	514.3	"A"	279.9	"A"	754.6	"A"	800.1	"P"	391.8	"A"	1045.9	"A"	197.6	"A"	274.9	"A"	200.6	"A"	714.8	"M"	689	"A"	1647	"P"	670	"P"	725.1	"A"	895.7	"M"	308.6	"A"	452.4	"P"	678	"A"	706.3	"P"	486.3	"A"	923.3	"A"	847.7	"A"	1232.4	"P"	899.2	"P"	1338.2	"A"	832.1	"A"	951.9	"A"	819.1	"A"	521.4	"P"	1573.7	"P"	1067.1	"A"	707.9	"A"	1056.3	"A"	1378.1	"A"	258.8	"A"	869.5	"A"	1599.2	"A"	973.8	"P"	864.3	"A"	1072.1	"P"	1062.2	"A"	1037.4	"A"	2132.3	"A"	1390.3	"A"	119.5	"A"	1109	"A"	419.4	"P"	23.8	"A"	1082	"A"	604.5	"A"	522.3	"A"	264.9	"A"	609.9	"P"	665.3	"A"	1045.6	"A"	230.2	"M"	892.8	"P"	39	424	10.98	0.0007956594		
"1842_at"	"S62138"	"TLS/CHOP"	628.3	"A"	334.9	"P"	239.7	"A"	521.8	"A"	814.5	"A"	331.2	"A"	-208.8	"A"	-49	"A"	1316.4	"P"	778.1	"A"	712.9	"A"	-65.5	"A"	4099.3	"P"	2670.3	"P"	3655	"P"	2126.5	"P"	3653	"P"	565.5	"A"	1633	"P"	2198.3	"A"	969.5	"A"	-207.7	"A"	743.4	"A"	103.2	"A"	104.8	"A"	94.8	"A"	517.9	"A"	54.3	"A"	364.1	"A"	560.6	"A"	103.6	"A"	300.1	"A"	176.5	"A"	939	"A"	-126.4	"A"	519.8	"A"	620.2	"A"	507	"A"	150.4	"A"	604.1	"A"	409.6	"A"	663.8	"A"	509.5	"P"	385	"A"	222.3	"A"	413.9	"A"	218	"A"	93.3	"A"	160.2	"A"	149.6	"A"	1008.1	"A"	513.1	"A"	767.6	"A"	4884.2	"P"	520.4	"A"	10737.9	"P"	410.5	"A"	1309.9	"A"	11070.4	"P"	1172.6	"P"	-64.1	"A"	7035.7	"P"	4104.7	"P"	5685.2	"P"	997.7	"A"	5758.8	"P"	-554	"A"	-41.2	"A"	4179.7	"P"	5630.5	"A"	858.4	"A"	6777.2	"P"	7155.2	"P"	1136.4	"A"	520.6	"A"	17148.2	"P"	7553.1	"P"	7318.3	"P"	282.8	"A"	981.6	"P"	7052.5	"P"	8021.5	"P"	5100.3	"P"	12361.4	"P"	4390.8	"P"	3120.3	"P"	51.8	"A"	2628.9	"M"	357	"A"	4916.2	"P"	564	3144	5.58	0.0001128191		
"1860_at"	"U58334"	"Tumor protein p53 binding protein, 2"	748.5	"P"	168.6	"A"	461.9	"A"	896.8	"P"	586.4	"P"	787.8	"P"	413.2	"P"	594.5	"P"	623.6	"P"	754.1	"P"	608.2	"P"	502.3	"P"	1365.4	"P"	695.5	"P"	1112.5	"P"	1430.4	"P"	2534.8	"P"	1117.7	"P"	662.5	"P"	1200.5	"P"	924.6	"P"	608.3	"P"	1247.8	"P"	1064.3	"A"	1039.6	"P"	1042.3	"P"	1076.7	"A"	644.5	"P"	1333.1	"P"	817.1	"P"	350.8	"A"	562.3	"P"	477.5	"P"	588.9	"P"	953.4	"P"	936.8	"P"	1260.6	"P"	683	"P"	1075.5	"P"	541.6	"P"	733.4	"P"	802.2	"P"	623.3	"P"	516	"P"	401.3	"P"	918.8	"P"	733.8	"P"	1077.2	"P"	705.3	"P"	563.3	"P"	1084.4	"P"	891.5	"P"	774.2	"P"	739.7	"P"	1421.4	"P"	1607.9	"P"	1096.9	"P"	232.5	"A"	1792.5	"P"	836.9	"P"	801.3	"P"	462.8	"A"	392.3	"P"	4228.2	"P"	878.7	"P"	2415	"P"	543.5	"P"	993.4	"P"	1012.5	"P"	656.3	"P"	626.2	"P"	1302.5	"P"	2262.3	"P"	325.7	"P"	1147.3	"P"	811.6	"P"	2241.1	"P"	4165	"P"	642.4	"P"	1029.2	"P"	2439.5	"P"	3914.3	"P"	4799.3	"P"	4456.4	"P"	3354.3	"P"	1408.5	"P"	1281.2	"P"	1144.9	"P"	1343.3	"P"	762.5	"P"	860	1498	1.74	0.0008516866		
"2019_s_at"	"M68892"	"Integrin, beta 7"	3228.5	"P"	4244.8	"P"	3200.6	"P"	4929	"P"	6615.2	"P"	3919	"P"	2937.9	"P"	4105.4	"P"	7622.5	"P"	7974.1	"P"	3755.7	"P"	3526.3	"P"	3991.4	"P"	2416.8	"P"	2009.9	"P"	4260.6	"P"	1266.5	"P"	1852.9	"P"	8853.6	"P"	4343.3	"P"	3341.5	"P"	3887.5	"P"	4473.4	"P"	3211.2	"P"	4647.4	"P"	4126	"P"	3362.9	"P"	3788.9	"P"	4071.5	"P"	3790.9	"P"	5477.9	"P"	5890.6	"P"	5214.4	"P"	6730.4	"P"	5192.5	"P"	4127.4	"P"	5749	"P"	4626.7	"P"	5390.7	"P"	3603.9	"P"	3884.3	"P"	3972.6	"P"	3701	"P"	3233	"P"	3580.9	"P"	5663.1	"P"	5564.2	"P"	2307.1	"P"	2876.4	"P"	4144.2	"P"	5045.1	"P"	4507.7	"P"	2245.8	"P"	1900	"P"	3369.1	"P"	1816.7	"P"	5912	"P"	592.8	"P"	3507	"P"	4667.6	"P"	1695	"P"	978.7	"P"	2830.5	"P"	1349	"P"	2285.3	"P"	1661.1	"P"	2571.7	"P"	5379	"P"	3207.4	"P"	1343.7	"P"	1735.5	"P"	1590.3	"P"	1615.4	"P"	5859.5	"P"	9055.9	"P"	-371.8	"P"	729.2	"P"	1869.8	"P"	3136.1	"P"	3348.6	"P"	1347.7	"P"	2137.6	"P"	1502.4	"P"	1874.3	"P"	2163.8	"P"	2820.8	"P"	2434.2	"P"	1933.8	"P"	4718	"P"	1852.7	"P"	4210	2783	0.66	3.80106654943432E-005		
"2059_s_at"	"M36881"	"Lymphocyte-specific protein tyrosine kinase"	12098.5	"P"	11651	"P"	16095	"P"	12776.1	"P"	13533.2	"P"	17355.1	"P"	15104.7	"P"	15109.7	"P"	12777.6	"P"	14239.2	"P"	8795.1	"P"	15250.2	"P"	8766	"P"	8221.7	"P"	6437.6	"P"	10600.9	"P"	3206.9	"P"	16045.1	"P"	24414.5	"P"	17183.8	"P"	16622.1	"P"	14386.2	"P"	17086	"P"	9470.2	"P"	14764.2	"P"	16942.6	"P"	18354.4	"P"	12367.6	"P"	19699.5	"P"	17002	"P"	21537.7	"P"	17645.8	"P"	18856.2	"P"	13743.4	"P"	21736.1	"P"	15490.8	"P"	15411.8	"P"	15812.2	"P"	21546.6	"P"	17323.4	"P"	19461.2	"P"	15547.3	"P"	13118.1	"P"	7742	"P"	7928.6	"P"	19624.9	"P"	12339.5	"P"	12248.7	"P"	8696.8	"P"	16981.1	"P"	10611.8	"P"	11643.3	"P"	4820.5	"P"	4648.5	"P"	10641.9	"P"	7568.7	"P"	13461.4	"P"	5249.1	"P"	8512.9	"P"	10044.7	"P"	7291.2	"P"	5954.2	"P"	8431	"P"	3508.7	"P"	3130.3	"P"	6351.2	"P"	11334.7	"P"	16467.3	"P"	8486.1	"P"	3338.5	"P"	9248.8	"P"	6874.7	"P"	5633.5	"P"	15734.4	"P"	21579.2	"P"	4326	"P"	5209.3	"P"	7445.8	"P"	14669.3	"P"	8290.1	"P"	3415.5	"P"	8169.9	"P"	4979.4	"P"	4836	"P"	9126.1	"P"	6304.7	"P"	10689	"P"	10321.9	"P"	19145.3	"P"	8398	"P"	15292	9474	0.62	2.21910035990404E-008		
"248_at"	"L40388"	"Thyroid receptor interacting protein 15"	670.6	"P"	231.1	"P"	577.2	"P"	928.6	"P"	565.8	"P"	335.2	"A"	814.1	"P"	483.5	"P"	613.1	"P"	507.7	"P"	1458.9	"P"	1383.2	"P"	1528.8	"P"	978.2	"P"	1606	"P"	2564.2	"M"	2229.3	"P"	1075	"P"	1199.3	"A"	1656.9	"P"	1508	"P"	1979.9	"P"	833.9	"P"	662.2	"A"	628.4	"P"	968.7	"P"	837.3	"A"	1092	"P"	1371.9	"P"	462.7	"P"	360.9	"A"	951.1	"P"	752.4	"P"	259.7	"A"	716.8	"P"	915.9	"P"	1695.9	"P"	647.2	"P"	830.2	"P"	647.7	"M"	916.3	"P"	1634.7	"P"	744.5	"P"	629	"P"	261.5	"A"	1073.6	"P"	680.1	"P"	709.2	"P"	587.8	"P"	576.1	"P"	558.7	"P"	533.5	"P"	191.9	"P"	1312.6	"P"	1546.9	"P"	2396	"P"	1039.9	"P"	1126.4	"P"	2823.9	"P"	1034.9	"P"	1464.5	"P"	1769.9	"P"	1842.6	"P"	4919.2	"P"	1114.3	"P"	2231.6	"P"	906.5	"P"	992.5	"P"	2138.3	"P"	1005.6	"P"	459.8	"P"	2174	"P"	2377	"P"	793.7	"A"	1328.9	"P"	1005.4	"P"	1897	"P"	3560.7	"P"	1697.5	"P"	2352.8	"P"	2879.9	"P"	2264.4	"P"	2976.4	"P"	3357.7	"P"	2349	"P"	1811.7	"P"	845	"P"	1211.8	"A"	1524.8	"P"	1410.5	"P"	1034	1622	1.57	0.0006748906		
"269_at"	"L40387"	"2'-5'-oligoadenylate synthetase-like"	1048.3	"A"	586.2	"M"	595.8	"A"	811.7	"P"	417	"P"	841.2	"A"	470.8	"A"	456	"A"	275.4	"P"	320.2	"M"	1275.5	"P"	898.6	"A"	620.6	"P"	1257.9	"A"	709.5	"P"	691.8	"A"	1546.5	"P"	627.1	"A"	1157.4	"A"	487.8	"P"	556.7	"P"	483.7	"P"	799	"P"	512.5	"A"	821.2	"A"	610.9	"P"	943.3	"A"	958.9	"P"	893	"P"	572	"P"	1058.3	"P"	532.9	"A"	563.3	"A"	70.6	"A"	645.6	"A"	411.8	"M"	794.4	"P"	256.9	"A"	712.8	"A"	391.1	"P"	263.1	"A"	698	"P"	725.5	"A"	2068	"P"	2285.9	"P"	616.8	"P"	587.4	"P"	1135.6	"P"	418.5	"P"	429.5	"P"	649.2	"P"	997.2	"P"	130.2	"A"	1585.7	"P"	718.4	"P"	2446.8	"P"	3792.8	"P"	1870.3	"P"	812.1	"P"	1716.2	"P"	4793.6	"P"	3373.9	"P"	1651.4	"P"	1707	"P"	1277	"P"	1501.4	"P"	1178.9	"P"	1080	"P"	1832	"P"	1179.7	"P"	783.8	"A"	681	"A"	1096.8	"P"	637.3	"A"	2502.7	"P"	4656.9	"P"	1100.3	"A"	912.6	"P"	1131.2	"P"	1930.8	"P"	2206.1	"P"	1888.1	"P"	455.5	"P"	2020.5	"P"	1303.6	"P"	2261	"P"	688.1	"P"	247.2	"A"	435.1	"P"	350.5	"P"	410	1488	3.63	1.88455495068642E-007		
"274_at"	"L04282"	"Zinc finger protein 148 (pHZ-52)"	1367	"P"	1328.1	"P"	1451.4	"P"	1474.7	"P"	1700.7	"P"	1173.8	"P"	1304.5	"P"	1023.5	"P"	1720.9	"P"	1629	"P"	1219.5	"P"	719.1	"P"	674.8	"P"	270.5	"A"	1376.5	"P"	1340.6	"P"	792.6	"A"	1689	"P"	1934.6	"P"	1112.8	"P"	825.1	"P"	2497.5	"P"	1798.9	"P"	2717.8	"P"	2155.7	"P"	2172.5	"P"	2923	"P"	2566.7	"P"	2367.4	"P"	1641.4	"P"	1358	"P"	1902.5	"P"	1812.9	"P"	1693.4	"P"	3091.8	"P"	1406.1	"P"	2388.6	"P"	1213	"P"	1339.7	"P"	1118.7	"P"	1245.7	"P"	1135.5	"P"	1283.4	"P"	1609	"P"	1173.3	"P"	1463.5	"P"	1114.1	"P"	1288.9	"P"	1058.1	"P"	1302.5	"A"	990.9	"P"	924.7	"P"	1377.5	"P"	1114.3	"P"	1060.9	"P"	1031.3	"P"	1018.4	"P"	983	"P"	518.2	"P"	1319.1	"P"	886.3	"A"	1159.3	"P"	1607.6	"P"	1207.5	"A"	1460.6	"P"	973	"P"	1821.2	"P"	1137.6	"P"	1820.6	"P"	849.5	"P"	1102.4	"A"	1114.9	"P"	327.3	"A"	854.7	"A"	987.6	"P"	549.8	"A"	1129.4	"P"	534	"P"	1264.7	"P"	1039.8	"P"	726.4	"P"	1475.2	"P"	378.7	"P"	559.1	"A"	1530.2	"P"	1675.9	"P"	2220.3	"A"	1967	"P"	2120	"P"	1378.9	"P"	1608	1026	0.64	4.44248201945632E-005		
"296_at"	"X79535"	"Tubulin, beta polypeptide"	75.2	"A"	93.6	"A"	214.4	"A"	389.6	"P"	315.7	"P"	495.8	"A"	156.7	"P"	997.8	"P"	745.3	"P"	681	"P"	744.8	"P"	181.9	"P"	4148	"P"	3021.3	"P"	2557	"P"	2285.2	"P"	573.9	"P"	359.2	"P"	690.6	"P"	403.1	"P"	540.1	"P"	178.9	"P"	378.1	"P"	56.4	"A"	59.2	"A"	139.7	"A"	77.3	"A"	223.9	"P"	1935.7	"P"	344	"P"	464.4	"P"	421.1	"P"	325.1	"P"	488	"P"	146.5	"P"	609.8	"P"	604.8	"P"	311.8	"P"	192.9	"P"	267	"P"	358.5	"P"	428.1	"P"	560.2	"P"	622	"P"	839.7	"P"	459.4	"P"	450.4	"P"	394.1	"P"	245.8	"P"	175.6	"A"	358.8	"P"	1131.1	"P"	664.4	"P"	3139.6	"P"	227.1	"P"	3837.6	"P"	139.8	"A"	2039.6	"P"	3129.5	"P"	358.5	"P"	190.8	"A"	4125.1	"P"	4575.3	"P"	7210.3	"P"	711.9	"P"	1333.5	"P"	537.4	"P"	370.2	"P"	3579.6	"P"	2503.4	"P"	1082	"P"	2321.9	"P"	2777.2	"P"	332.3	"A"	229.3	"P"	2046.7	"P"	1511	"P"	2143.3	"P"	58.9	"A"	536.1	"P"	2973.9	"P"	2198.9	"P"	3190.7	"P"	6961.7	"P"	591.1	"P"	2800.6	"P"	152.4	"A"	2272.1	"P"	358.6	"P"	4571.6	"P"	723	1845	2.55	0.0001753994		
"305_g_at"	"L13858"	"Son of sevenless (Drosophilia) homolog 2"	543.3	"P"	241.2	"P"	628.8	"P"	865.4	"P"	1001.5	"P"	845	"P"	801.6	"P"	635	"P"	1312.3	"P"	921.7	"P"	656.5	"P"	758.1	"P"	605.4	"A"	633.5	"A"	937.8	"P"	835.5	"P"	947.1	"P"	831.6	"P"	70.5	"A"	818	"P"	1018.6	"P"	654	"P"	660	"P"	117	"A"	329.8	"A"	716.4	"P"	493	"A"	854.6	"P"	947.4	"P"	605.3	"P"	624.3	"A"	1254.9	"P"	1169.3	"P"	273.8	"A"	938.1	"P"	1004.2	"P"	826.2	"P"	498.5	"P"	569.3	"P"	492.3	"P"	455.7	"P"	736.5	"P"	748.4	"P"	815	"P"	393.2	"P"	1104.4	"P"	1130.3	"P"	573.7	"P"	1170	"P"	661.4	"P"	1002.6	"P"	836.3	"P"	827.4	"P"	991.1	"P"	1286.3	"P"	1316.3	"P"	769.9	"P"	1045.4	"P"	1076.8	"P"	837.2	"P"	701	"P"	953.8	"P"	542.6	"P"	1258.8	"P"	1110.9	"P"	820.6	"P"	854.2	"P"	1109.9	"P"	1343.7	"P"	1265.5	"P"	770.4	"P"	392.2	"P"	827.6	"P"	742.3	"P"	654	"P"	1232.9	"P"	1259.7	"P"	679.2	"P"	1236.9	"P"	850	"P"	868.2	"P"	1069.1	"P"	1592.4	"P"	602.5	"P"	2308.9	"P"	965	"P"	572.9	"P"	1301.3	"P"	671.3	"P"	704.7	"P"	604	910	1.51	8.90832207572784E-005		
"31449_at"	"AF009787"	"T cell receptor beta locus"	609.5	"P"	199.1	"A"	590.1	"P"	383.4	"M"	490.6	"M"	927.1	"P"	592.8	"A"	628.5	"A"	502.1	"P"	565.7	"P"	400.1	"A"	518.1	"P"	549.1	"P"	114.3	"A"	116.8	"A"	881.8	"P"	144.9	"A"	761	"P"	743.4	"P"	636.1	"P"	576.2	"P"	743	"P"	1303.9	"P"	933.8	"P"	1784.1	"P"	1213.5	"P"	1437	"P"	981.6	"P"	1626.6	"P"	1929.3	"P"	1275.4	"A"	934.2	"P"	715	"P"	802.4	"P"	1513.5	"P"	612.8	"P"	960	"P"	356	"P"	512.9	"P"	773.7	"A"	903.7	"P"	830.1	"P"	519.3	"P"	300	"A"	322.6	"A"	663.4	"P"	456.8	"A"	563.4	"P"	610.3	"P"	734.9	"P"	440.9	"P"	340.8	"A"	-1.3	"A"	336.6	"P"	579.3	"P"	391.3	"P"	637.4	"P"	306	"P"	1117	"P"	379.1	"A"	683.1	"A"	696.1	"P"	518.3	"A"	274.9	"A"	86.3	"A"	377.3	"A"	546.8	"P"	578.6	"A"	289	"P"	221.5	"A"	455.6	"P"	608.6	"A"	305	"A"	970	"P"	1458.7	"P"	574.4	"A"	215.8	"P"	365.4	"M"	715.8	"P"	515.5	"P"	177.8	"A"	339.9	"A"	409.4	"P"	230.9	"A"	378.1	"A"	361.8	"M"	416.5	"P"	520.4	"A"	1590.1	"P"	487.4	"P"	776	415	0.53	0.0009821226		
"32640_at"	"M24283"	"Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor"	557.2	"P"	730.4	"P"	501.8	"P"	895.3	"P"	488.8	"P"	172.8	"A"	178.5	"P"	114.3	"A"	995.2	"P"	700	"P"	1120.2	"P"	200.3	"P"	961.9	"P"	277.5	"P"	1395.9	"P"	1129.7	"P"	1820.2	"P"	115.5	"A"	161.1	"A"	736.3	"P"	530.3	"P"	457.1	"P"	420.9	"A"	298.6	"A"	111.4	"P"	290.5	"P"	182.9	"A"	485.7	"P"	283.7	"P"	498.5	"P"	573.8	"P"	521.3	"P"	531	"P"	299.8	"P"	337.8	"P"	706.1	"P"	559.6	"P"	455.9	"P"	288.5	"P"	97.6	"P"	260.4	"P"	560.8	"P"	723.3	"P"	850	"P"	384.8	"P"	224	"P"	766.1	"P"	457.6	"A"	439.7	"P"	317.3	"A"	927.3	"P"	691.1	"P"	580.9	"P"	1666	"P"	627.2	"P"	3657.8	"P"	509.9	"P"	569.5	"A"	2381.5	"P"	697.5	"P"	676.5	"P"	2779.6	"P"	612.2	"A"	2470.2	"P"	318.6	"P"	1858.6	"P"	154.7	"P"	284.7	"P"	965.2	"P"	1326.2	"P"	538.8	"P"	1227.4	"P"	2211.9	"P"	593.6	"P"	197.4	"P"	2206.4	"P"	1353	"P"	693	"P"	383	"P"	758.2	"P"	3216.9	"P"	1642	"P"	2029.5	"P"	4626.7	"P"	1693	"P"	921	"P"	79	"A"	745.2	"P"	525.6	"P"	1506.2	"P"	487	1100	2.26	0.0002903162		
